tytuł,miesięcznie,czynsz,kaucja,województwo,powiat,miasto,dzielnica,ulica,lokalizacja,liczba pokoi,typ ogłoszeniodawcy,ogrzewanie,piętro,stan wykończenia,dostępne od,informacje dodatkowe,rok budowy,winda,rodzaj zabudowy,materiał budynku,okna,bezpieczeństwo,wyposażenie,zabezpieczenia,media,url,data_pobrania
"Balkon,wkd,CICHO,zielono,GARAŻ,umeblowane, 2022r.",2 999 zł,900,6 000 zł,mazowieckie,brak informacji,Warszawa,Włochy,brak informacji,"Wiktoryn 6A, Okęcie, Włochy, Warszawa, mazowieckie",2,biuro nieruchomości,miejskie,1/7,do zamieszkania,2025-05-08,"balkon, garaż/miejsce parkingowe",2022,tak,apartamentowiec,cegła,plastikowe,teren zamkniętymonitoring / ochrona,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka, klimatyzacja","drzwi / okna antywłamaniowe, domofon / wideofon",telewizja kablowainternettelefon,https://www.otodom.pl/pl/oferta/balkon-wkd-cicho-zielono-garaz-umeblowane-2022r-ID4w1SZ,2025-05-14 03:40:12
"Wynajmę mieszkanie 31,7 na Targowej",3 500 zł,brak informacji,5 000 zł,mazowieckie,brak informacji,Warszawa,Praga-Północ,brak informacji,"Stara Praga, Praga-Północ, Warszawa, mazowieckie",1,prywatny,miejskie,2/4,do zamieszkania,brak informacji,brak informacji,1912,nie,kamienica,cegła,plastikowe,brak informacji,"lodówka, meble, kuchenka, telewizor, pralka","drzwi / okna antywłamaniowe, domofon / wideofon",telewizja kablowainternet,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-31-7-na-targowej-ID4qD2H,2025-05-14 03:40:13
"Białołęka, ul. Skarbka z Gór_3pok. 76,8m2_bezpośr.",3 500 zł,802,4 000 zł,mazowieckie,brak informacji,Warszawa,Białołęka,brak informacji,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",3,prywatny,brak informacji,2/3,do zamieszkania,2025-05-14,"balkon, garaż/miejsce parkingowe, tylko dla niepalących",2005,nie,blok,brak informacji,plastikowe,monitoring / ochronateren zamknięty,"meble, pralka, lodówka, kuchenka, piekarnik",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/bialoleka-ul-skarbka-z-gor-3pok-76-8m2-bezposr-ID4vmQB,2025-05-14 03:40:13
Wynajmę mieszkanie w centrum Wrzeszcza,3 400 zł,590,5 000 zł,pomorskie,brak informacji,Gdańsk,Wrzeszcz Górny,brak informacji,"Wrzeszcz Górny, Gdańsk, pomorskie",2,prywatny,miejskie,1/4,do zamieszkania,2025-05-01,"balkon, tak, garaż/miejsce parkingowe, tylko dla niepalących, oddzielna kuchnia, pom. użytkowe, Wynajmę również studentom",2020,tak,apartamentowiec,pustak,plastikowe,monitoring / ochrona,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor","drzwi / okna antywłamaniowe, domofon / wideofon",telewizja kablowainternet,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-w-centrum-wrzeszcza-ID4sy4F,2025-05-14 03:40:13
Klimatyczny apartament,3 300 zł,458,3 000 zł,pomorskie,brak informacji,Gdynia,brak informacji,ul. 3 Maja,"ul. 3 Maja, Śródmieście, Gdynia, pomorskie",2,prywatny,miejskie,5/5,do zamieszkania,2025-09-15,"balkon, tak, piwnica, tylko dla niepalących, Wynajmę również studentom",1939,tak,kamienica,cegła,plastikowe,teren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor",brak informacji,internettelewizja kablowa,https://www.otodom.pl/pl/oferta/klimatyczny-apartament-ID4vndp,2025-05-14 03:40:14
Wynajmę Mieszkanie 32m 2 pokoje kolo Wola Park,3 500 zł,580,3 500 zł,mazowieckie,brak informacji,Warszawa,brak informacji,ul. Górczewska,"ul. Górczewska, Ulrychów, Wola, Warszawa, mazowieckie",2,prywatny,miejskie,5/7,do zamieszkania,2025-06-01,"balkon, garaż/miejsce parkingowe, oddzielna kuchnia",2010,tak,blok,cegła,plastikowe,monitoring / ochronateren zamknięty,"meble, pralka, lodówka, kuchenka, piekarnik","drzwi / okna antywłamaniowe, domofon / wideofon",internet,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-32m-2-pokoje-kolo-wola-park-ID4vndu,2025-05-14 03:40:14
"Mieszkanie, 30 m², Warlubie",1 200 zł,brak informacji,brak informacji,kujawsko-pomorskie,świecki,Warlubie,Warlubie,brak informacji,"Warlubie, Warlubie, świecki, kujawsko-pomorskie",1,biuro nieruchomości,brak informacji,1,brak informacji,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/mieszkanie-30-m-warlubie-ID4vndw,2025-05-14 03:40:15
"Mieszkanie, 41 m², Poznań",1 900 zł,480,1 900 zł,wielkopolskie,brak informacji,Poznań,brak informacji,ul. Strzelecka,"ul. Strzelecka, Jeżyce, Jeżyce, Poznań, wielkopolskie",1,biuro nieruchomości,miejskie,1/4,do zamieszkania,2025-05-13,"balkon, piwnica",brak informacji,nie,kamienica,cegła,plastikowe,brak informacji,brak informacji,brak informacji,telewizja kablowa,https://www.otodom.pl/pl/oferta/mieszkanie-41-m-poznan-ID4vndr,2025-05-14 03:40:15
2 pokoje balkon SASKA|BAGRY|Bezpośrednio ENG,2 900 zł,530,3 000 zł,małopolskie,brak informacji,Kraków,brak informacji,ul. Saska,"ul. Saska, Płaszów, Podgórze, Kraków, małopolskie",2,prywatny,miejskie,2/5,do zamieszkania,2025-05-26,"balkon, garaż/miejsce parkingowe",2023,tak,blok,beton,plastikowe,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/2-pokoje-balkon-saska-bagry-bezposrednio-eng-ID4qleW,2025-05-14 03:40:16
3-pokojowe mieszkanie blisko centrum i Parku Śl.,2 000 zł,brak informacji,brak informacji,śląskie,brak informacji,Katowice,brak informacji,ul. Dębowa,"ul. Dębowa, Dąb, Katowice, śląskie",3,biuro nieruchomości,miejskie,2/4,do zamieszkania,brak informacji,"balkon, piwnica, oddzielna kuchnia",1979,nie,blok,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,telewizja kablowainternet,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-blisko-centrum-i-parku-sl-ID4vnd7,2025-05-14 03:40:16
Mieszkanie - Elbląg,1 500 zł,1,brak informacji,warmińsko-mazurskie,brak informacji,Elbląg,brak informacji,ul. Robotnicza,"ul. Robotnicza, Elbląg, warmińsko-mazurskie",2,biuro nieruchomości,miejskie,2/8,do zamieszkania,brak informacji,"balkon, piwnica, oddzielna kuchnia",brak informacji,tak,blok,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/mieszkanie-elblag-ID4vnd3,2025-05-14 03:40:16
WYJĄTOWY 3 POK. | NOWY KLEPARZ | KLIMATYZACJA,4 999 zł,brak informacji,brak informacji,małopolskie,brak informacji,Kraków,brak informacji,ul. Cieszyńska,"ul. Cieszyńska, Krowodrza, Krowodrza, Kraków, małopolskie",3,biuro nieruchomości,miejskie,5/5,do zamieszkania,2025-05-13,"balkon, garaż/miejsce parkingowe, tylko dla niepalących",2023,tak,blok,brak informacji,plastikowe,monitoring / ochronateren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor, klimatyzacja","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,https://www.otodom.pl/pl/oferta/wyjatowy-3-pok-nowy-kleparz-klimatyzacja-ID4vdo2,2025-05-14 03:40:17
Komfortowy Apartament przy Manufakturze,2 100 zł,725,4 200 zł,łódzkie,brak informacji,Łódź,Bałuty,brak informacji,"Stare Miasto, Bałuty, Łódź, łódzkie",2,biuro nieruchomości,miejskie,2/10,do zamieszkania,2025-05-15,balkon,2021,tak,apartamentowiec,inny,plastikowe,monitoring / ochrona,"meble, lodówka, piekarnik, zmywarka, kuchenka",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/komfortowy-apartament-przy-manufakturze-ID4vncX,2025-05-14 03:40:17
Mieszkanie 2 pokoje ul Magnacka wysoki standard,2 500 zł,700,5 000 zł,wielkopolskie,brak informacji,Poznań,brak informacji,ul. Magnacka,"ul. Magnacka, Piątkowo, Stare Miasto, Poznań, wielkopolskie",2,prywatny,miejskie,1/3,do zamieszkania,2025-05-14,"balkon, tak, piwnica, tylko dla niepalących, Wynajmę również studentom",2000,nie,blok,cegła,plastikowe,brak informacji,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor, klimatyzacja",brak informacji,internet,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-ul-magnacka-wysoki-standard-ID4amkE,2025-05-14 03:40:18
Świetny rozkład! Po remoncie! Doskonała funkcjonalność dla 2 osób,1 850 zł,600,3 000 zł,łódzkie,brak informacji,Łódź,Teofilów,ul. Traktorowa,"Teofilów, ul. Traktorowa, Teofilów, Bałuty, Łódź, łódzkie",2,prywatny,miejskie,3/4,do zamieszkania,2025-05-14,"balkon, tak, piwnica, tylko dla niepalących, oddzielna kuchnia, Wynajmę również studentom",brak informacji,nie,blok,wielka płyta,plastikowe,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","drzwi / okna antywłamaniowe, domofon / wideofon",telewizja kablowainternet,https://www.otodom.pl/pl/oferta/swietny-rozklad-po-remoncie-doskonala-funkcjonalnosc-dla-2-osob-ID4j4kE,2025-05-14 03:40:18
Na wynajem 2 pokojowe mieszkanie z balkonem,3 000 zł,brak informacji,brak informacji,zachodniopomorskie,brak informacji,Świnoujście,brak informacji,brak informacji,"Świnoujście, zachodniopomorskie",2,biuro nieruchomości,miejskie,2/4,do zamieszkania,2025-05-01,brak informacji,2004,tak,apartamentowiec,cegła,brak informacji,brak informacji,brak informacji,brak informacji,telewizja kablowainternet,https://www.otodom.pl/pl/oferta/na-wynajem-2-pokojowe-mieszkanie-z-balkonem-ID4vcog,2025-05-14 03:40:19
3 pokoje na strzeżonym osiedlu z garażem,3 100 zł,1,3 100 zł,mazowieckie,brak informacji,Warszawa,brak informacji,ul. Kazimierza Jeżewskiego,"ul. Kazimierza Jeżewskiego, Kabaty, Ursynów, Warszawa, mazowieckie",3,prywatny,miejskie,4/5,do zamieszkania,brak informacji,"balkon, garaż/miejsce parkingowe, tylko dla niepalących, oddzielna kuchnia",2003,tak,blok,inny,plastikowe,teren zamkniętymonitoring / ochrona,"lodówka, piekarnik, kuchenka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon",internet,https://www.otodom.pl/pl/oferta/3-pokoje-na-strzezonym-osiedlu-z-garazem-ID4uyfw,2025-05-14 03:40:19
3 pok. dla Firmy lub prywatnie przy Promenadzie.,3 000 zł,brak informacji,brak informacji,zachodniopomorskie,brak informacji,Świnoujście,brak informacji,brak informacji,"Świnoujście, zachodniopomorskie",3,biuro nieruchomości,miejskie,1/4,do zamieszkania,2025-05-03,"balkon, garaż/miejsce parkingowe",2014,tak,apartamentowiec,cegła,brak informacji,brak informacji,brak informacji,brak informacji,telewizja kablowa,https://www.otodom.pl/pl/oferta/3-pok-dla-firmy-lub-prywatnie-przy-promenadzie-ID4vdht,2025-05-14 03:40:20
"2-pokojowe, wysoki standard, centrum miasta",2 600 zł,brak informacji,brak informacji,zachodniopomorskie,brak informacji,Świnoujście,brak informacji,brak informacji,"Świnoujście, zachodniopomorskie",2,biuro nieruchomości,miejskie,2/6,do zamieszkania,2025-05-14,brak informacji,2020,tak,apartamentowiec,cegła,brak informacji,brak informacji,brak informacji,brak informacji,telewizja kablowainternet,https://www.otodom.pl/pl/oferta/2-pokojowe-wysoki-standard-centrum-miasta-ID4vncO,2025-05-14 03:40:20
"Wynajmę mieszkanie 48 m2, Jaspisowa",2 200 zł,1,2 200 zł,lubelskie,brak informacji,Lublin,brak informacji,ul. Jaspisowa,"ul. Jaspisowa, Węglin Południowy, Lublin, lubelskie",2,prywatny,gazowe,1/3,do zamieszkania,2025-05-20,"balkon, garaż/miejsce parkingowe, oddzielna kuchnia",brak informacji,nie,blok,pustak,plastikowe,brak informacji,"meble, pralka, lodówka, kuchenka, piekarnik",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-48-m2-jaspisowa-ID4vncK,2025-05-14 03:40:21
Nowy apartament w centrum Krakowa z miejscem postojowym,3 700 zł,540,4 000 zł,małopolskie,brak informacji,Kraków,Grzegórzki,brak informacji,"Grzegórzki, Grzegórzki, Kraków, małopolskie",2,prywatny,miejskie,9/10,do zamieszkania,2025-07-01,"balkon, garaż/miejsce parkingowe, piwnica, tylko dla niepalących, pom. użytkowe",2023,tak,apartamentowiec,pustak,plastikowe,teren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor, klimatyzacja","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,https://www.otodom.pl/pl/oferta/nowy-apartament-w-centrum-krakowa-z-miejscem-postojowym-ID4pX1W,2025-05-14 03:40:21
Pierwszy najem Podmiejska Nova/ 2pokoje/siłownia,2 550 zł,400,3 000 zł,wielkopolskie,brak informacji,Kalisz,brak informacji,ul. Podmiejska,"ul. Podmiejska, Korczak, Kalisz, wielkopolskie",2,biuro nieruchomości,miejskie,7/8,do zamieszkania,2025-05-13,"balkon, garaż/miejsce parkingowe",2024,tak,blok,cegła,aluminiowe,monitoring / ochrona,"meble, lodówka, piekarnik, zmywarka, kuchenka","system alarmowy, domofon / wideofon",brak informacji,https://www.otodom.pl/pl/oferta/pierwszy-najem-podmiejska-nova-2pokoje-silownia-ID4vncL,2025-05-14 03:40:21
2-pokojowe mieszkanie 65 m² | Klimatyzacja | Garaż | Pets Friendly,4 900 zł,1,5 300 zł,mazowieckie,brak informacji,Warszawa,brak informacji,ul. Jana III Sobieskiego,"ul. Jana III Sobieskiego, Sadyba, Mokotów, Warszawa, mazowieckie",2,prywatny,brak informacji,2/9,brak informacji,2025-05-15,"balkon, tak, garaż/miejsce parkingowe, Wynajmę również studentom",brak informacji,tak,blok,brak informacji,brak informacji,monitoring / ochronateren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor, klimatyzacja","drzwi / okna antywłamaniowe, domofon / wideofon",internet,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-65-m-klimatyzacja-garaz-pets-friendly-ID4vncG,2025-05-14 03:40:22
Nowoczesne 2-pokojowe mieszkanie z loggią,3 950 zł,630,4 500 zł,mazowieckie,brak informacji,Warszawa,brak informacji,ul. Marywilska,"ul. Marywilska, Żerań, Białołęka, Warszawa, mazowieckie",2,prywatny,miejskie,3/6,do zamieszkania,2025-05-18,"balkon, tak, garaż/miejsce parkingowe, pom. użytkowe, Wynajmę również studentom",2021,tak,apartamentowiec,brak informacji,brak informacji,monitoring / ochronateren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor","drzwi / okna antywłamaniowe, domofon / wideofon",internet,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokojowe-mieszkanie-z-loggia-ID4vncD,2025-05-14 03:40:22
"Bemowo Lotnisko, 2 oddzielne pokoje",2 500 zł,980,3 500 zł,mazowieckie,brak informacji,Warszawa,brak informacji,ul. Pirenejska,"ul. Pirenejska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",2,biuro nieruchomości,miejskie,2/8,do zamieszkania,2025-04-30,"balkon, oddzielna kuchnia",1982,tak,blok,brak informacji,brak informacji,brak informacji,"meble, piekarnik, lodówka, pralka, telewizor",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/bemowo-lotnisko-2-oddzielne-pokoje-ID4wDwR,2025-05-14 03:40:23
Kawalerka w samym centrum Marszałkowska Wspólna,2 500 zł,500,2 600 zł,mazowieckie,brak informacji,Warszawa,brak informacji,ul. Wspólna,"ul. Wspólna, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",1,biuro nieruchomości,miejskie,3/10,do zamieszkania,2025-04-09,brak informacji,1970,tak,blok,cegła,plastikowe,monitoring / ochrona,"meble, piekarnik, lodówka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon",telefoninternettelewizja kablowa,https://www.otodom.pl/pl/oferta/kawalerka-w-samym-centrum-marszalkowska-wspolna-ID4wSVy,2025-05-14 03:40:23
Bezpośr. Super studio Pole Mokotowskie Batorego 37,2 700 zł,470,1 850 zł,mazowieckie,brak informacji,Warszawa,brak informacji,ul. Stefana Batorego,"ul. Stefana Batorego, Stary Mokotów, Mokotów, Warszawa, mazowieckie",1,prywatny,miejskie,10/12,do zamieszkania,2025-06-01,balkon,1978,tak,blok,inny,plastikowe,brak informacji,"meble, pralka, lodówka, kuchenka, piekarnik",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/bezposr-super-studio-pole-mokotowskie-batorego-37-ID4bEFy,2025-05-14 03:40:24
Centrum; ul.Hoża - 2 pokoje - umeblowane,3 500 zł,700,4 200 zł,mazowieckie,brak informacji,Warszawa,Śródmieście,brak informacji,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",2,biuro nieruchomości,miejskie,5/6,do zamieszkania,brak informacji,"balkon, oddzielna kuchnia",1964,tak,kamienica,cegła,plastikowe,brak informacji,"zmywarka, piekarnik, telewizor",brak informacji,telewizja kablowainternet,https://www.otodom.pl/pl/oferta/centrum-ul-hoza-2-pokoje-umeblowane-ID4vncr,2025-05-14 03:40:24
"Glamour, 3 pokoje, 52m2, balkon 20m2, 4 pietro, 2m-ca garażowe",4 000 zł,1,5 000 zł,mazowieckie,brak informacji,Warszawa,brak informacji,ul. Adama Branickiego,"ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",3,prywatny,miejskie,4/4,do zamieszkania,2025-05-14,"balkon, garaż/miejsce parkingowe, tylko dla niepalących",2018,tak,blok,żelbet,plastikowe,monitoring / ochronateren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor, klimatyzacja",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/glamour-3-pokoje-52m2-balkon-20m2-4-pietro-2m-ca-garazowe-ID4vncn,2025-05-14 03:40:25
"Kraków – Osiedle Podwawelskie – ul. Słomiana – 59,10 m2",2 500 zł,830,2 500 zł,małopolskie,brak informacji,Kraków,brak informacji,ul. Słomiana,"ul. Słomiana, Ludwinów, Dębniki, Kraków, małopolskie",3,biuro nieruchomości,miejskie,6/10,do zamieszkania,2025-06-01,"balkon, tak, garaż/miejsce parkingowe, piwnica, oddzielna kuchnia, Wynajmę również studentom",1970,tak,blok,wielka płyta,drewniane,brak informacji,"meble, pralka, lodówka, kuchenka, piekarnik",brak informacji,internettelewizja kablowatelefon,https://www.otodom.pl/pl/oferta/krakow-osiedle-podwawelskie-ul-slomiana-59-10-m2-ID4vjyI,2025-05-14 03:40:25
"Gumieńce, Kazimierska 2 pok. 2 ogródki m. post",2 600 zł,brak informacji,brak informacji,zachodniopomorskie,brak informacji,Szczecin,Zachód,brak informacji,"Gumieńce, Zachód, Szczecin, zachodniopomorskie",2,biuro nieruchomości,miejskie,parter/4,do zamieszkania,brak informacji,"ogródek, garaż/miejsce parkingowe",2014,tak,blok,brak informacji,brak informacji,monitoring / ochrona,brak informacji,brak informacji,telewizja kablowainternet,https://www.otodom.pl/pl/oferta/gumience-kazimierska-2-pok-2-ogrodki-m-post-ID4vnci,2025-05-14 03:40:26
"Kawalerka dostępna od zaraz, nowe osiedle Gdańsk",2 300 zł,420,brak informacji,pomorskie,brak informacji,Gdańsk,brak informacji,ul. Ptasia,"ul. Ptasia, Orunia-Św. Wojciech-Lipce, Gdańsk, pomorskie",1,biuro nieruchomości,miejskie,2/4,do zamieszkania,2025-05-13,balkon,brak informacji,tak,apartamentowiec,brak informacji,brak informacji,monitoring / ochrona,brak informacji,brak informacji,telewizja kablowainternet,https://www.otodom.pl/pl/oferta/kawalerka-dostepna-od-zaraz-nowe-osiedle-gdansk-ID4vnch,2025-05-14 03:40:26
"Do wyajęcia pokój z aneksem+toaleta, ul. Graniczna, umeblowane",1 300 zł,460,1 300 zł,kujawsko-pomorskie,brak informacji,Bydgoszcz,Okole,brak informacji,"Okole, Bydgoszcz, kujawsko-pomorskie",1,prywatny,gazowe,4/4,do zamieszkania,2025-05-14,"ogródek, tak, garaż/miejsce parkingowe, Wynajmę również studentom",brak informacji,nie,kamienica,cegła,plastikowe,teren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor, klimatyzacja",brak informacji,internettelewizja kablowa,https://www.otodom.pl/pl/oferta/do-wyajecia-pokoj-z-aneksem-toaleta-ul-graniczna-umeblowane-ID4vnc9,2025-05-14 03:40:27
Eleganckie mieszkanie Łódź Centrum TYLNA,2 350 zł,490,2 000 zł,łódzkie,brak informacji,Łódź,brak informacji,ul. Tylna,"ul. Tylna, Centrum, Śródmieście, Łódź, łódzkie",2,prywatny,miejskie,2,do zamieszkania,brak informacji,balkon,brak informacji,tak,apartamentowiec,brak informacji,brak informacji,monitoring / ochronateren zamknięty,"meble, pralka, zmywarka, lodówka, kuchenka, piekarnik, telewizor",brak informacji,brak informacji,https://www.otodom.pl/pl/oferta/eleganckie-mieszkanie-lodz-centrum-tylna-ID4vnc8,2025-05-14 03:40:27
"Wynajmę trzypokojowe mieszkanie o pow. 58,6 m",1 700 zł,850,2 500 zł,śląskie,brak informacji,Częstochowa,Północ,brak informacji,"Północ, Częstochowa, śląskie",3,prywatny,miejskie,1/4,do zamieszkania,brak informacji,"balkon, piwnica, oddzielna kuchnia",brak informacji,nie,blok,wielka płyta,plastikowe,brak informacji,"meble, pralka, lodówka, kuchenka, piekarnik","rolety antywłamaniowe, domofon / wideofon",internet,https://www.otodom.pl/pl/oferta/wynajme-trzypokojowe-mieszkanie-o-pow-58-6-m-ID4vnc4,2025-05-14 03:40:28
